Unnamed: 0,Rating,Komentar,Content Quality,Subscription & Pricing,UI/UX,Functionality,Technical & Access
353,1.0,"Sudah berlangganan berbayar, tapi tetap tidak bisa akses fitur premiumnya. Customer service sulit dihubungi, respon sangat lambat.",,,,,-1.0
354,5.0,Saya percaya sajian2 Kompas yang profesional dan independen,1.0,,,,
355,3.0,Saya dari dulu selalu baca kompas,,,,,
356,5.0,Mantap kompas slalu yg terbaik,,,,,
357,5.0,Saya suka membaca berita di aplikasi ini dan turut berlangganan. Koran Kompas memang mengusung jurnalisme berkualitas.,1.0,,,,
358,5.0,Sangat bermanfaat dan bacaan setiap hari,,,,,
359,1.0,Gak bisa baca buku ketika mode android gelap,,,,-1.0,
360,5.0,Beritanya objektif dan seimbang .,1.0,,,,
361,1.0,"sdh brlangganan, gak bisa bca e paper. dan selalu diarahkan via ke google play. jelek😡",,,,,-1.0
362,2.0,Kompas id gak bisa landscape ya?,,,-1.0,,
363,5.0,Kompas sangat penting untuk dibaca sintaksisnya apik.,1.0,,,,
364,5.0,"Sdh lbh 50th membaca Kompas cetak, di era IT stop berlangganan mngikuti kemajuan tekhnologi",,,,,
365,1.0,koran digitalnya berbayar pdhl udah didownload tp ga bisa dibuka males bgt kalo hrs nonton iklan justru gpp,,-1.0,,-1.0,
366,5.0,Saran : harusnya buat paket Rp. 1000. Jadi enak buat test test dulu. Kalau sor baru..lanjut,,0.0,,,
367,5.0,Sangat bagus dan bisa dipercaya,1.0,,,,
368,1.0,Saya jengkel dgn Kompas e paper. Saya mau berhenti saja setelah sejak 1967 langganan Kompas,,,,-1.0,
369,4.0,KOMPAS MATA HATI KATA HATI,,,,,
370,5.0,"Bagus, Daripada langganan koran Kompas yang hardcopy lebih baik yang digital, Bisa dibawa dan dibaca dimana-mana 🙂...",,1.0,,,
371,1.0,Saya tak suka aja aplikasi berita tapi berbayar 🙄,,-1.0,,,
372,5.0,Terima kasih atas bantuan dan pertolongannya,,,,,
373,5.0,"Bagus, mendalam, dan terpercaya, cepat, represehtatif",1.0,,,,
374,5.0,Banyak informasi baru yang up to date dan terpercaya sumbernya. Saya suka baca kompas sejak usia 12 tahun,1.0,,,,
375,1.0,Susah download walaupun kuota penuh... tapi saya merasa koneksi internet dan kuota saya mencukupi.. ini aneh... tujuan saya update..🙏,,,,,-1.0
376,1.0,Bagaimana cara berhenti berlangganan.... Ga ketemu caranya,,0.0,,,
377,1.0,Akurat dlm pemberitsanx dan sangat di percaya,1.0,,,,
378,1.0,Sudah dilakukan pembayaran tapi status masih belum aktif. Kecewa dengan Kompas,,,,,-1.0
379,5.0,Klu cari lowongan kerja dibagian apa?,,,,,
380,5.0,Sangat membantu mendapatkan informasi dan tulisan yg mencerahkan,1.0,,,,
381,5.0,Selalu terdepan dalam kualitas untuk kepuasan pelanggan,,,,,
382,5.0,"Berita aktual dan terpercaya , kompas tetap yang terbaik , netralitas adalah kunci keadilan ,,,",1.0,,,,
383,5.0,بسم الله الرحمن الرحيم Mengulas serta menyampaikan wacana dengan jernih.,,,,,
384,1.0,Khusus covid media knp memberi berita yg sll menyeramkan pdhl 95% covid bs sembuh dan kurang pemberitaan,-1.0,,,,
385,5.0,"Berita Lengkap, Ulasan dengan bahasa yg tinggi, ciri dari kompas tdk pernah berubah",1.0,,,,
386,5.0,Informasi yg up to date hingga tidak termakan berita hoax,1.0,,,,
387,5.0,Beritanya dari zaman dulu sampai sekarang dapat dipercayadan terkemuka,1.0,,,,
388,5.0,Indonesia peta Indonesia malam 🌃 dan informasi kompas tv online streaming Sidoarjo Jawa timur Indonesia,,,,,
389,5.0,"Kompas menurut gue dah lama di Indonesia dan berbagai sumber berita akurat,terpercaya",1.0,,,,
390,3.0,"Beritakan yg benar/ril bukan pencitraan, iklan jangan berlebihan",0.0,,,,
391,1.0,Tidak bersikap netral sebagai pemberi berita. Beritanya hoak semua demi kepentingan pihak tertentu,-1.0,,,,
392,5.0,Membaca harian kompas lbh oercaya daripd google indonesia,1.0,,,,
393,2.0,kira in bisa baca berlanggan dulu 50.000 rupiah,,0.0,,,
394,2.0,Agak nge lag gitu ya,,,,,-1.0
395,5.0,Memberi arah agar tepat tujuan/sasaran secara pasti,,,,,
396,1.0,Aplikasi ini jelik banget!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!@!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!tapi bo'ong hayuk papali papali *,,,,,
397,5.0,"Harian Kompas salah surat kabar yang berani mengungkap kebenaran, tidak memihak dan berpihak",1.0,,,,
398,5.0,"Walaupun berbayar, content content nya sangat bagus di banding yang lain. Good apps",1.0,1.0,,,
399,5.0,Hebat. Sangat bermanfaat untuk dibaca dan dipelajari.,,,,,
400,1.0,NETRALAH.........DALAM MEMBERIKAN BERITA JANGAN PRO KE PEMERINTAH JUGA JANGAN JUGA PRO KE PIHAK OPOSISI...PAYAH....AUTO UNINSTAL...,-1.0,,,,
401,5.0,Memuaskan. Apa epaper tak bisa full warna,,,,0.0,
402,1.0,Berita sampah aja pake berbayar.. ajiggg,-1.0,-1.0,,,
403,5.0,Beritanya selalu terbaru dan kopeten dan bersifat netral.bagus,1.0,,,,
404,4.0,Berita2 di kompas singkat dan akurat,1.0,,,,
405,3.0,Buka mau baca kok sulit,,,,,-1.0
406,5.0,Informasi yg Akurat..Kompas..berita terupdate..sangat berguna Good Job,1.0,,,,
407,4.0,Mohon dong tambahkan fitur kompaskarier seperti kompas website .. Itu saja ulasan saya tolong di respon secepat ny,,,,0.0,
408,1.0,"Membaca berita berbayar, masih banyak cara lain mendapatkan berita gratis. Jangan download app ini, app berbayar 👎👎👎👎👎",,-1.0,,,
409,5.0,Berita yang benar²... jangan berita HOAkompas yaa,0.0,,,,
410,1.0,"Dapat voucher dr tukar poin bli bli, ternyata ga bisa pake...sama aja mubazir....",,-1.0,,,
411,4.0,Semoga aku puas baca harian kompas Kompas tv independen terpercaya,1.0,,,,
412,1.0,Sudah beli google play tapi tidak bisa akses. Knp ya ?,,,,,-1.0
413,1.0,Hari gini ga ada yg gratis 😂😂😂,,-1.0,,,
414,3.0,Sy baru install. Semoga baik,,,,,
415,5.0,Tanggal. 29 / 7 / 2020 Jam. 16:21🇮🇩❤📌.oke,,,,,
416,1.0,Media abal2....isinya ga jelas ....,-1.0,,,,
417,1.0,"Beritanya mulai banyak yg hoax, tdk akurat, jadi sebel membacanya",-1.0,,,,
418,1.0,Asal masukan media tanpa diklarifikasi,-1.0,,,,
419,1.0,"Clickbait, isi tidak sesuai fakta, provokatif, berlebihan, hiperbola, ditambah bumbu",-1.0,,,,
420,1.0,"Berita a****g, gak netral dan tdk mendidik",-1.0,,,,
421,5.0,Berbayar sih tapi berbobot. Maju terus kompas,1.0,0.0,,,
422,5.0,"Semoga KOMPAS bisa menyajikan berita yg Akurat , Netral , terUpDate , sehingga dapat dijadikan acuan/pedoman semua masyarakat indonesia 🙏",0.0,,,,
423,1.0,"Cczeher,nya c km n pin oli, fkompas",,,,,
424,1.0,Ciee mau ikutan buat HOAkompas ky aplikasi sebelah...,-1.0,,,,
425,3.0,"Untuk sementara bintang 3 dulu ya, semoga bisa baik ke bibtang 5",,,,,
426,4.0,Semoga tetap berpegang pada independen.,,,,,
427,1.0,Beritanya mulai gak singkron banyak hoaxnya payahhh,-1.0,,,,
428,1.0,Gw instal tp boong.. Hahahaha ha..,,,,,
429,5.0,Berita menarik dan e book nya layak dibaca....,1.0,,,,
430,2.0,Kurang Updete Sperti Di Google,-1.0,,,,
431,1.0,Kecewa..🙈🙉🙊💩.. Mending pindah kesebelah... Bukan KOMPAS yg dulu😝,,,,,
432,5.0,Bagaimanan scan uji coba gratis langganan aesuai koran hari ini,,0.0,,,
433,1.0,Lupa password tidak ada solusi,,,,,-1.0
434,5.0,Bagus nih update terus dilanjut terus bang,1.0,,,,
435,5.0,Koran ditinggalkan ada applikasi News Yang. Lebih memukau mampu terpercaya dalam menghadirkan Berita Dunia,1.0,,,,
436,1.0,"ternyata mau baca koran aja ribet pakai masuk"" akun sgala,padahal dah pake kuota data...hmmm",,,,,-1.0
437,2.0,Beritanya di update lagi makasih,0.0,,,,
438,4.0,"Kompas 3 T : top, tepat dan terpecaya",1.0,,,,
439,1.0,Mahal om 50rb per bulan,,-1.0,,,
440,5.0,Ok bos sy puas degan britanya,1.0,,,,
441,1.0,Baca berita kok harus bayar...?!,,-1.0,,,
442,4.0,"Bagus , beritanya dpt dipercaya",1.0,,,,
443,5.0,Kompas memang tiada dua nya,,,,,
444,5.0,Jurnalisme berkualitas dan terpercaya ada dalam genggaman,1.0,,,,
445,1.0,"Maaf, terpaksa di uninstall masih banyak app lain yg memberi tanpa mengharapkan imbalan.",,-1.0,,,
446,1.0,"Punya saya tidak bisa berlangganan,padahal udah di isi pulsa 55.000 apa masalah nya ini? Mau dilanggani atau tidak?",,-1.0,,,
447,5.0,ngikuti kompas nambah wawasan pengetahusn kita.,1.0,,,,
448,1.0,Ketika mengetahui harus berbayar..langsung hapus..masih banyak konten berita yang gratis..thanks,,-1.0,,,
449,5.0,Sa sdh konfirmasi pembayaran lwt browser kok buka epaper di apps gak bisa.. tolong petunjuknya,,,,,-1.0
450,5.0,Berita nasional masalah politik pasca pemilu,,,,,
451,5.0,Aku merasa senang bisa bergabung dengan semua disini,,,,,
452,3.0,belum di goba sementara bintang 3 dl.,,,,,
453,5.0,"Berita terkini dan selalu update, membuka wawasan berpikir.",1.0,,,,
454,2.0,"beberapa berita, sangat tidak netral. mungkin meraih pundi pundi uang, lewat situ kali ya?",-1.0,,,,
455,1.0,lebih mudah masa awal dulu buka kompas id. sekarang ribet.,,,-1.0,,
456,4.0,"cepat,akurat dan terintegrasi secara berkesinambungan.",1.0,,,,
457,5.0,Artikel judul masih sering berulang ( double ).,-1.0,,,,
458,5.0,bisa baca berita setiap hari. terima kasih,1.0,,,,
459,4.0,test dlu semoga independen beritanya,0.0,,,,
460,1.0,"masa harus login dulu payahhh, uninstal deh jadinya",,,,,-1.0
461,4.0,suka untuk ikut berita. tapi bintangnya saya tambahkan jadi 5 klo aplikasinya bagus dan terpercaya,,,,,
462,3.0,mohon beritanya supaya lebih jelas dan akurat ya.. trimksh.,0.0,,,,
463,5.0,"mantap berita yg aktual dan terjamin,maju terusss",1.0,,,,
464,5.0,"kak tolong bantu ,Punya voucher kompas yang satu bulan tapu gimana cara aktivasiin kode voucher nya?",,0.0,,,
465,1.0,masa maw liat berita harus pakai paket berlangganan....sy uinstal aja...aplikasi gak berguna,,-1.0,,,
466,5.0,"aplikasi tdk bisa dibukaharus dilogging bagaimana caranya ,",,,,,-1.0
467,2.0,"berita di menu cetak dan e-paper sering gak update, padahal udah di refresh berkali2",-1.0,,,,
468,5.0,mantab. Kemudahan dalam mencari berita yang mendalam. Salah satu alternatif penangkal hoax,1.0,,,,
469,4.0,"Bagus, terimakasih sangat membantu 👍",,,,,
470,5.0,Kompas mantap jadi bisa monitoring iklan harian saya smoga banyak peminat,,,,,
471,3.0,Akan lebih baik lagi kalau ukuran font nya bisa di custom. Di HP saya fontnya terlalu kecil.,,,-1.0,,
472,1.0,"Masa harus langganan 50,RB perbulan, SDH makan Kouta, masih kurangkah????",,-1.0,,,
473,1.0,Masa baca berita sedikit aja harus bayar,,-1.0,,,
474,1.0,"Mending baca berita ol sebelah,,, gini2 berlanganan....",,-1.0,,,
475,1.0,Ampas mau sign in pakai gogle akun pakai fb maupun buat akun ngak bisa2 tele lh,,,,,-1.0
476,4.0,Beritakan berita yang benar benar kejadian nyata,0.0,,,,
477,5.0,Sangat hebat Saya didatangi langsung oleh petugas kompas Saat berkunjung Di gramedia,,,,,
478,1.0,"Kenapa ya...?? Saya sdh berlangganan, malah aplikasinya baru dibuka keluar lagi dgn sendirinya...???",,,,,-1.0
479,2.0,"Setelah diminta sign in untuk bebas akses, setelah sign in ternyata tetap harus berlangganan☺️ untuk baca berita lengkap. Uninstall deh.",,,,,-1.0
480,5.0,Terima kasih kepada Kompas yg telah memberikan informasi kpd masyarakat. Sukses selalu,,,,,
481,5.0,Perbesar kontribusi para pembaca dalam penyajian informasi,,,,,
482,5.0,Tambah sukses dan lebih inovasi,,,,,
483,5.0,"Oke, beritanya, tingkatkan trus, maju kompas",1.0,,,,
484,5.0,Semoga Kompas tetap menjaga Marwah KEINDONESIAAN,,,,,
485,1.0,"Saya sulit untuk membaca isi beritanya. Ber kali2 selalu tidak bisa, 
padahal berita yang saya suka.",,,,,-1.0
486,5.0,Pepatatah mengatakan berita itu bukan persis kejadian yg sebenarnya,,,,,
487,4.0,Tampilan gambar dan penulisan untuk minat baca,,,0.0,,
488,5.0,"Saya menyukai berita2 politik di kompas, saya punya kliping kompas sejak 
1994",,,,1.0,
489,3.0,"Tulisan fontnya hrs bisa diatur besar kecilnya agar dpt bisa dibaca dgn 
jelas bagi penggunanya.",,,-1.0,,
490,1.0,Betita lama sering di muat lg,-1.0,,,,
491,1.0,"Knapa buku yg udah di donlot, setiap mo baca kudu donlot dulu..? Boros 
kuota , Mas... Bintang 1 cukuplah.",,,,-1.0,
492,5.0,"GK harus nunggu koran pagi dikirim, bangun tidur jam 4.30 bisa menikmati 
berita pagi",,,,,
493,1.0,"Ribet,.. bayar lagi. Males.. langdung uninstall. Install yg lain masih 
banyak",,-1.0,,,
494,3.0,Yah bayar. Langsung uninstall. Padahal beberapa bulan lalu masih gratis.,,-1.0,,,
495,5.0,"Berita terpopuler & terpercaya, thanks",1.0,,,,
496,5.0,Bermanfaat untuk menambah wawasan dan infotmasi,,,,,
497,5.0,Tingkatkan kualitas dan pelayanan nya,,,,,
498,5.0,Terima kasih semoga bermanfaat selalu,,,,,
499,1.0,"ribet sekali bro...! gak bisa bikin yang simpel saja kah. kayak detik gitu 
loh...!",,,-1.0,,
500,1.0,"Komersil banget sekarang.... Padahal dengan kita baca artikel aja kompas 
Uda dapat uang banyak....",,-1.0,,,
501,4.0,"Tambah wawasan, sip deh, makasih",,,,,
502,5.0,Bagus buat mengisi waktu luang,,,,,
503,4.0,"Mengakses kompas.id sejak 2017 saat masih beta. Sekarang berlangganan 
sampai Juni 2018. Semoga semakin baik.",,,,,
504,5.0,Selalu menyajikan berita yg aktual.. intelektual.. terpercaya & independen!,1.0,,,,
505,5.0,Media tertua dan bergengsi di Jakarta Indonesia.,,,,,
506,3.0,"sejak upgrade versi terakhir, download tidak tersimpan. saya harus download ulang setiap mau baca lagi.",,,,-1.0,
507,5.0,"Terima kasih ada berita kompas yg baru, Semoga beritanya tidak kalah dengan berita babe thks alot",,,,,
508,1.0,harus pakai log in segala norak juga,,,,,-1.0
509,5.0,"KOMPAS sumber berita terlengkap, akurat, dan terpercaya.****",1.0,,,,
510,5.0,"Kompas.id *cermat* memilih berita , *akurat* data2nya, *tepat* sasaran pembacanya, *hebat* design layout penyajiannya. Pokoknya Kompas.id *mantap*.",1.0,,,,
511,5.0,Berita ok. Selalu update trs ya,1.0,,,,
512,5.0,"Keren, desain visualnya meningkatkan minat baca😍 makasih Kompas.id",,,1.0,,
513,5.0,Untuk berita yang akurat ... Kompas oke,1.0,,,,
514,5.0,"Untuk bacaan anak muda, dan untuk menambahkan wawasan kita. Kompas adalah pilihan yang tepat. Semoga makin jaya Kompas.Id 😆",1.0,,,,
515,5.0,"Hampir tiap hari tak sempat baca koran, akan dicoba baca yang e.koran yang premium",,,,,
516,2.0,Bisa ada fidio ea kah,,,,0.0,
517,4.0,Kompas pass untuk di baca.,,,,,
518,1.0,"Mantap gan, ana suka, terus berikan yang terbaik untuk bNgsa",,,,,
519,5.0,Bersyukur dengan berita yang terpercaya dan bisa dipertanggung jawabkan,1.0,,,,
520,5.0,Lebih mudah dalam mengupdate informasi,,,,,
521,5.0,"Luar biasa, berita-beritanya sangat kredibel, independen, dan terpercaya",1.0,,,,
522,5.0,Mantap... Untuk mendapatkan berita terkini dan independen,1.0,,,,
523,4.0,"Senang sekali karena beritanya bermutu, netral nasional, mencerdaskan masyarakat dan menambah wawasan.",1.0,,,,
524,5.0,Gue pembaca setia kompas. Terima kasih kompas!,,,,,
525,4.0,Sangat informatif dan berita yg bisa diakui,1.0,,,,
526,5.0,You can get upadated news from Kompas Daily on Kompas.id. It`s recommended apps.,1.0,,,,
527,5.0,Mantap saya sudah daftar member di gramedia pondok indah,,,,,
528,5.0,tingkatkan update annya dgn berita yg lebih informatif,0.0,,,,
529,5.0,Sangat memuaskan dan menbuka pikiran kita,,,,,
530,2.0,ini ko udah login tapi ko gabisa ya pas buka korannya malah harus daftat membership? tolong infonya dong,,,,,-1.0
531,5.0,Semoga koran kompas semakin mudah diakses melalui android dan gratis,,0.0,,,
532,5.0,Suka banget baca berita Kompas selalu update dan menghemat waktu tentunya karena bisa baca berita Kompas di mana Saja.,1.0,,,,
533,1.0,Bahkan baca berita aja suruh bayar 🤣🤣🤣,,-1.0,,,
534,1.0,Notif untuk mengaktifkan notifikasi sangat mengganggu. Tampilan koran juga semakin jelek. Tumben?,,,-1.0,,-1.0
535,1.0,"Pas mau masuk sering banget ""aplikasi dalam perbaikan"". Bikin stres",,,,,-1.0
536,1.0,Navbar bawah di-epaper tidak bisa dihide sehingga menghalangi epaper bagian bawah,,,-1.0,,
537,4.0,Tolong perbaiki tampilan di iPad mini a17 supaya pas tidak terpotong kanan kirinya,,,-1.0,,
538,3.0,"diinstall di ipad mini, sisi sebelah kiri terpotong, sudah lama tidak ada perbaikan",,,-1.0,,
539,5.0,"Berita selau update dan memberikan peluang suara dari pelosok untuk dimuat di media nasional, sangat membatu kami di daerah 3T",1.0,,,,
540,5.0,Tidak mengapa ada iklan yang penting gratis😁🙏,,1.0,,,
541,3.0,Kepotong teksnya kalau di iphone 13,,,-1.0,,
542,1.0,iPad app simple back button on the top keep crashing,,,,,-1.0
543,5.0,TTS nya sering internal server error,,,,-1.0,
544,2.0,Aplikasinya kenapa sekarang tidak menyesuaikan dengan device ya? Terpotong dan tidak smooth. Saya harus selalu buka dari PC,,,-1.0,,-1.0
545,1.0,"Aneh, udh didownload masih harus konek internet. Padahal dipesawat kita baca paper ini",,,,-1.0,
546,1.0,"Saya sudah melakukan payment untuk 1 tahun, tetapi saya tetap tidak bisa mengakses untuk baca berita, ini bagaimana sih ?",,,,,-1.0
547,1.0,Tidak ada response setelah login melalui Google.,,,,,-1.0
548,1.0,udah subscribe tapi gabisa log in. tiap log in cuma loading tapi ga masuk ke halaman utama,,,,,-1.0
549,1.0,"Sudah subscribed bulanan, tapi tidak bisa log in.",,,,,-1.0
550,5.0,Enjoyable with research by kompas,,,,,
551,5.0,Sdh klik yg berlangganan bulanan kenapa status langganan msh tdk aktif ya?,,,,,-1.0
552,1.0,"pas log in mala dibilang blm subs, pdhl sudah subs.",,,,,-1.0
553,5.0,Mau berhenti langganan koran kompas manual kasihan sama tukang loper korannya saya berlangganan sejak tahun 1990. Jadinya manual kombinasi deh.😀🙏🏼,,,,,
554,5.0,"dapet diskon member kompas id setahun, jadi update berita terus baca kompas. keren kompas",,1.0,,,
555,5.0,"Beritanya bernas, mendidik serta eksklusive",1.0,,,,
556,5.0,Penuh dg bacaan yg informatif,1.0,,,,
557,5.0,Sudah lancar di ipad. Thanks response developer!,,,,,1.0
558,5.0,kompas memberikan informasi terkurasi yang berkualitas sesuai standar Harian kompas yg terjaga selama ini.,1.0,,,,
559,5.0,Aplikasinya mudah digunakan dan nggak pernah error sejauh ini.,,,,,1.0
560,5.0,Berita berkualitas terpercaya. Bebas dari hoax. Saya baca terus tiap pagi. Terus tingkatkan jurnalisme berkualitas,1.0,,,,
561,5.0,Terimakasih untuk jurnalisme berkualitasnya. Lanjutkan kompas!,1.0,,,,
562,5.0,Cool app! Thank you. Hopefully more easy to use,,,,,
563,5.0,"Saya sangat suka kompas id, berita nya bagus dan tutur katanya terbaik dari yang terbaik. Aplikasinya nggak pernah keluar sendiri",1.0,,,,1.0
564,4.0,Sudah 2 x status langganan saya selama 1 tahun menjadi tidak berlangganan lagi pdhl baru bberpa bulan saja,,,,,-1.0
565,1.0,"Seharusnya kompas tidak menghapus aplikasi versi lama, agar bisa di download juga oleh iOS yg versi lama.",,,,,-1.0
566,5.0,"Mohon untuk diperbaiki aplikasi ini, karena sering sekali aplikasi tertutup mendadak/crash ketika discroll ke bawah. Utamakan pelayanan terhadap pelanggan.",,,,,-1.0
567,2.0,Please fix! App force closed after scrolling. Ios 16,,,,,-1.0
568,5.0,Tolong dibuat fitur offline untuk kompas e-paper sehingga bisa tetap dibaca saat perjalanan udara. Tks,,,,0.0,
569,2.0,scroll scroll pasti selalu force closed,,,,,-1.0
570,1.0,Wah sdh gak bisa dibuka di iOS 12.5.5 lagi ya. Pilihannya hanya berhenti berlangganan atau beli HP baru?,,,,,-1.0
571,5.0,"sebulan setelah mengeluh, kini bisa buka dalam posisi portrait lagi, good job!",,,,,1.0
572,1.0,Aplikasi ga jalan di ipad.. percuma saya sudah langganan setahun.. perbaiki segera,,,,,-1.0
573,2.0,Aplikasi seringkali crash untuk device saya (iPhone 11) terpaksa uninstalled karena gak bisa dipakai dan balik ke web.,,,,,-1.0
574,1.0,"Setiap mau baca disuruh login, pdhl sudah login. Cek status katanya belum berlangganan, padahal bayar terus. Aneh banget deh ih",,,,,-1.0
575,5.0,Thanks kompas sudah update . Suka dengan designya yeayy,,,1.0,,
576,5.0,"Akhirnya, app yang sekarang bisa dikatakan layak. Setara dengan app milik media sebelah. Keren. Masih bisa ditingkatkan lagi sih.",,,,,1.0
577,3.0,"kompas di iPhone / iPad saya gak bisa buka isi berita, mentok di loading screen. Mohon di perbaiki. Terima kasih",,,,,-1.0
578,2.0,"Kalo menurut saya kurang bagus, karena terlalu banyak yg harus berlangganan. Untuk design sih udah ok dan penataan konten.",,-1.0,0.0,,
579,1.0,Saya tidak bisa download epaper sejak update di Version 2.0. Sudah dicoba di iPad dan iPhone. Mohon diperbaiki.,,,,-1.0,
580,1.0,Tolong diperbaiki segera. Terima kasih.,,,,,-1.0
581,1.0,"Rugi saya berlangganan premium, e-paper aja gak bisa dibuka",,,,-1.0,-1.0
582,1.0,Setelah update tak bisa dibaca epapernya,,,,-1.0,
583,5.0,Setelah update malah gak bisa di download dibuka sama sekali e-paper nya,,,,-1.0,
584,1.0,Barusan update kok malah epaper nya gak bisa dibuka,,,,-1.0,
585,1.0,Diupdate malah jd g bisa buka epaper (IOS14),,,,-1.0,
586,1.0,Sebelumnya tanggal 15  Novbisa download. Ganti version tgl 17 Nov jadi tidak bisa. Tolong segera perbaiki,,,,-1.0,
587,1.0,Cannot download and open epaper after upgrade,,,,-1.0,
588,4.0,"Mohon untuk di perbaiki, gak bisa download epaper",,,,-1.0,
589,2.0,"Tolong ditambah beberapa fitur yang buat lebihenak baca, seperti dark mode, landscape mode",,,0.0,0.0,
590,2.0,Ada error selalu gagal membaca pdf & gak bisa baca e paper,,,,-1.0,-1.0
591,1.0,"Saya berlangganan E paper di aplikasi ini, tapi susah sekali di download bahkan tidak bisa di download.",,,,-1.0,
592,2.0,"Tampilan portrait membuat UI terlihat sempit, dan tidak adanya darkmode cukup mengganggu saat ingin membuka aplikasi di malam hari",,,-1.0,0.0,
593,1.0,sudah bayar berlangganan tapi sampai sekarang masih belum aktif... gak jelas ni aplikasi 👎👎👎👎👎👎👎,,,,,-1.0
594,5.0,"Untuk akses login lewat google belum bisa mendirect kembali ke apps kompas
Mohon diperbaiki",,,,,-1.0
595,3.0,Kebanyakan aplikasi berbayar untuk membaca konten sudah mempunyai dark mode dan pengaturan teks. Ditunggu tambahan fitur tersebut.,,,,0.0,
596,3.0,Mungkin bisa ditingkatkan responsifitas dan mode malam atau tema background menjadi gelap.,,,0.0,,
597,1.0,Gagal login pakai google. Tidak bisa akses epaper.,,,,,-1.0
598,1.0,"Uda langganan 6 bulan, tapi tiap mau download pdf gagal melulu
Mubazir dong...
Benerin bisa ga tolong?",,,,-1.0,
599,1.0,"Mau klik langganan, tp nggak bisa2. Diperbaiki dong",,-1.0,,,
600,5.0,"I think you can update your UI/Ukompas to be more friendly. And less bugs, fast update. Thanks",,,0.0,,
601,2.0,"Aplikasi terlalu berat, loading lama. enggak bisa landscape juga.",,,-1.0,,-1.0
602,5.0,Please fix the app. I already purchased the membership for one year,,,,,-1.0
603,1.0,"Sy berlanggan kompas digital premium, aplikasi tdak berjalan di ios 12.1.2, tlg di update segera",,,,,-1.0
604,1.0,knp mesti langganan? padahal aplikasi lain yg serupa gk perlu langganan,,-1.0,,,
605,1.0,"In the beginning, that app worked fine. Eventually it's getting worse. Now, it crashes all the time",,,,,-1.0
606,5.0,"Okay, good apps. I can enjoy epaper in my iPad. :D",,,,1.0,
607,5.0,"Please fix the bug, the app keep crashing after sign in.",,,,,-1.0
608,1.0,Ini gimana sih baru 5detik dibuka crash terus,,,,,-1.0
609,1.0,Doesn’t work on iPad Pro with the latest ios,,,,,-1.0
610,1.0,Kalau ngak siao bikinnaplikasi mending ga usah bikin....begitu buka apps lsg crash...pengalaman ygbmengecewakan.tidak sejalan dengan reputasi harian kompas edisi cetak,,,,,-1.0
611,1.0,"Digunakan di IOS ga berjalan bagus, bisa dibuka tp lgs keluar lagi, berulang kali di reinstall problemnya sama saja",,,,,-1.0
612,5.0,Btw mohon update kompas idnya app biar ios 11.3 bisa terbacaca appnya soalnya sering crash appnya,,,,,-1.0
613,2.0,Setelah update Epaper sama sekali tidak dapat di buka.,,,,-1.0,
614,1.0,Apss dibuka selalu crash di ios 11.3 pada ipad.,,,,,-1.0
615,4.0,Di menh buku sering force close. Mohon update app nya. Tks.,,,,,-1.0
616,3.0,Ga bs close di iPhone x,,,,,-1.0
617,3.0,"Aplikasi ini cukup bagus untuk membaca harian kompas, namun sayang belum/tidak bisa untuk akses kompas versi e-paper / digital.",,,,-1.0,
618,1.0,"jadi member premium selama setahun sangat dirugikan, karena menu berita selalu diubah, kenapa cerpen yang harusnya berisi ratusan cerpen malah hanya menampilkan 4 cerpen saja? dimana saya bisa menemukan cerpen lain? terus dimama sajian humaniora? kok ilang? gak jelas, kadang di menu ekonomi ada berita hukum... perbaiki ya!",,,,-1.0,
619,3.0,"aplikasi sering tidak berjalan lancar, ketika aplikasi dibuka yang muncul hanya halaman loading yang sangat lama, dan ujung ujungnya gagal memuat halaman, sering seperti ini, padahal sudah bayar dan langganan untuk satu tahun....sayang sekali, padahal kompas.id adalah salah satu rujukan untuk informasi berita yang kredibel.",1.0,,,,-1.0
620,4.0,beritanya lengkap sih. tpi gimana sih caranya liat berita-berita di bulan sebelumnya? atau 2-3 bulan yang lalu?? masa harus ngescroll?? capek bgt dong. padahal udh bayar,1.0,,,-1.0,
621,4.0,"saya sebenarnya suka sama aplikasi ini jadi bisa membaca artikel baru dengan mudah tapi saya tidak bisa membaca artikel lain lagi karna SAYA SUDAH MEMBACA ARTIKEL DI BULAN INI dan saya disuruh berlangganan yang awalnya 15rb tapi jadi 50rb setelah pembayaran pertama, aku akui aplikasi ini emang bagus banget jadi, aku bakal coba aplikasi ini lagi di lain waktu karna sekarang aku gapunya uang nya :p",,-1.0,,1.0,
622,3.0,"aplikasi mudah untuk digunakan, cuma agak disayangkan kita sudah berlangganan premium masih dapat iklan digital segede gaban. semoga bisa dijadikan pertimbangan kritis tsb.",,-1.0,0.0,,
623,4.0,"mengapa kompas e paper saya suka gagal masuk ??? sering bermasalah padahal saya sengaja berlangganan online agar lebih fleksibel , sudah sering kali mohon perhatian nya admin kompas yg terhormat",,,,-1.0,-1.0
